threshold,precision,recall,f1
0.05,0.36003482803656944,0.9729411764705882,0.5255799173816333
0.060000000000000005,0.3967867575462512,0.9588235294117647,0.5612947658402204
0.07,0.39833822091886606,0.9588235294117647,0.5628453038674033
0.08000000000000002,0.40928698299923877,0.9488235294117647,0.5718844176564439
0.09000000000000001,0.40928698299923877,0.9488235294117647,0.5718844176564439
0.1,0.49806701030927836,0.9094117647058824,0.6436303080766028
0.11000000000000001,0.49806701030927836,0.9094117647058824,0.6436303080766028
0.12000000000000001,0.5424766018718502,0.8864705882352941,0.6730683340777133
0.13,0.5627118644067797,0.8788235294117647,0.6861079219288174
0.14,0.5627118644067797,0.8788235294117647,0.6861079219288174
0.15000000000000002,0.6759481517042727,0.8282352941176471,0.7443827650013217
0.16000000000000003,0.6759481517042727,0.8282352941176471,0.7443827650013217
0.17000000000000004,0.6759481517042727,0.8282352941176471,0.7443827650013217
0.18000000000000005,0.6759481517042727,0.8282352941176471,0.7443827650013217
0.19,0.6973486743371686,0.82,0.7537172208705055
0.2,0.6973486743371686,0.82,0.7537172208705055
0.21000000000000002,0.6973486743371686,0.82,0.7537172208705055
0.22000000000000003,0.6976976976976977,0.82,0.7539210383991347
0.23000000000000004,0.729021913415286,0.8023529411764706,0.763931671800616
0.24000000000000005,0.7432950191570882,0.7988235294117647,0.7700595406861356
0.25000000000000006,0.8087871287128713,0.7688235294117647,0.7882991556091676
0.26000000000000006,0.8087871287128713,0.7688235294117647,0.7882991556091676
0.27,0.8087871287128713,0.7688235294117647,0.7882991556091676
0.28,0.8087871287128713,0.7688235294117647,0.7882991556091676
0.29000000000000004,0.8087871287128713,0.7688235294117647,0.7882991556091676
0.30000000000000004,0.8087871287128713,0.7688235294117647,0.7882991556091676
0.31000000000000005,0.9124629080118695,0.7235294117647059,0.8070866141732284
0.32000000000000006,0.9124629080118695,0.7235294117647059,0.8070866141732284
0.33,0.9124629080118695,0.7235294117647059,0.8070866141732284
0.34,0.9157345264727815,0.7223529411764706,0.8076290693850707
0.35000000000000003,0.9157345264727815,0.7223529411764706,0.8076290693850707
0.36000000000000004,0.9157345264727815,0.7223529411764706,0.8076290693850707
0.37000000000000005,0.9157345264727815,0.7223529411764706,0.8076290693850707
0.38000000000000006,0.9164179104477612,0.7223529411764706,0.8078947368421052
0.39000000000000007,0.9293394777265745,0.711764705882353,0.8061292471685543
0.4000000000000001,0.9293394777265745,0.711764705882353,0.8061292471685543
0.4100000000000001,0.9293394777265745,0.711764705882353,0.8061292471685543
0.42000000000000004,0.9839932603201348,0.6870588235294117,0.8091444405957742
0.43000000000000005,0.9839932603201348,0.6870588235294117,0.8091444405957742
0.44000000000000006,0.9839932603201348,0.6870588235294117,0.8091444405957742
0.45000000000000007,0.9839932603201348,0.6870588235294117,0.8091444405957742
0.4600000000000001,0.9839932603201348,0.6870588235294117,0.8091444405957742
0.4700000000000001,0.9839932603201348,0.6870588235294117,0.8091444405957742
0.4800000000000001,0.9839932603201348,0.6870588235294117,0.8091444405957742
0.49000000000000005,0.9839932603201348,0.6870588235294117,0.8091444405957742
0.5000000000000001,0.9914456800684346,0.6817647058823529,0.8079470198675497
0.5100000000000001,0.9914456800684346,0.6817647058823529,0.8079470198675497
0.5200000000000001,0.9914456800684346,0.6817647058823529,0.8079470198675497
0.5300000000000001,0.9914456800684346,0.6817647058823529,0.8079470198675497
0.5400000000000001,0.9914456800684346,0.6817647058823529,0.8079470198675497
0.5500000000000002,0.9914456800684346,0.6817647058823529,0.8079470198675497
0.5600000000000002,0.9914456800684346,0.6817647058823529,0.8079470198675497
0.5700000000000002,0.9914456800684346,0.6817647058823529,0.8079470198675497
0.5800000000000002,0.9914456800684346,0.6817647058823529,0.8079470198675497
0.5900000000000002,0.9914456800684346,0.6817647058823529,0.8079470198675497
0.6000000000000002,0.9914383561643836,0.6811764705882353,0.8075313807531381
0.6100000000000001,0.9939759036144579,0.6794117647058824,0.8071278825995807
0.6200000000000001,0.9948275862068966,0.6788235294117647,0.806993006993007
0.6300000000000001,0.9948275862068966,0.6788235294117647,0.806993006993007
0.6400000000000001,0.995674740484429,0.6770588235294117,0.8060224089635855
0.6500000000000001,0.9965307892454467,0.6758823529411765,0.8054679284963197
0.6600000000000001,0.9965277777777778,0.6752941176470588,0.8050490883590463
0.6700000000000002,0.9991289198606271,0.6747058823529412,0.8054775280898876
0.6800000000000002,0.9991289198606271,0.6747058823529412,0.8054775280898876
0.6900000000000002,0.9991289198606271,0.6747058823529412,0.8054775280898876
0.7000000000000002,0.9991289198606271,0.6747058823529412,0.8054775280898876
0.7100000000000002,0.9991289198606271,0.6747058823529412,0.8054775280898876
0.7200000000000002,0.9991289198606271,0.6747058823529412,0.8054775280898876
0.7300000000000002,0.9991289198606271,0.6747058823529412,0.8054775280898876
0.7400000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.7500000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.7600000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.7700000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.7800000000000001,0.999128160418483,0.6741176470588235,0.8050579557428873
0.7900000000000001,0.999128160418483,0.6741176470588235,0.8050579557428873
0.8000000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.8100000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.8200000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.8300000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.8400000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.8500000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.8600000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.8700000000000002,0.999128160418483,0.6741176470588235,0.8050579557428873
0.8800000000000002,1.0,0.6741176470588235,0.8053408292340126
0.8900000000000002,1.0,0.6741176470588235,0.8053408292340126
0.9000000000000002,1.0,0.6741176470588235,0.8053408292340126
0.9100000000000003,1.0,0.6741176470588235,0.8053408292340126
0.9200000000000003,1.0,0.6741176470588235,0.8053408292340126
0.9300000000000002,1.0,0.6741176470588235,0.8053408292340126
0.9400000000000002,1.0,0.6741176470588235,0.8053408292340126
0.9500000000000002,1.0,0.6741176470588235,0.8053408292340126
